pos,per,asp,vox,mod,stt,cas,rat
abbrev|conj|conj_sub|digit|foreign|interj|part|part_det|part_focus|part_fut|part_interrog|part_neg|part_restrict|part_verb|part_voc|prep|punc,na,na,na,na,na,na,na
adj|adj_comp|adj_num,na,na,na,na,c|d|i,a|g|n|u,n
adv|adv_interrog|adv_rel|pron_interrog,na,na,na,na,i,u,y
noun,na,na,na,na,c|d|i,a|g|n|u,i|r
noun_num,na,na,na,na,c,a|g|n,n
noun_num,na,na,na,na,d|i,a|g|n|u,n
noun_prop,na,na,na,na,c|d|i,a|g|n|u,i
noun_prop,na,na,na,na,c|d,a|g|n|u,r
noun_prop,na,na,na,na,i,a|g|u,r
noun_prop,na,na,na,na,d|i,u,y
noun_prop,na,na,na,na,i,u,u
noun_prop,na,na,na,na,d,g|u,u
noun_quant,na,na,na,na,c|i,a|g|n|u,n
noun_quant,na,na,na,na,d,a|g|n,n
pron,1|2|3,na,na,na,i,n,y
pron_dem,na,na,na,na,i,a|n|u,y
pron_interrog,na,na,na,na,c|i,a|g|n,n
pron_rel,na,na,na,na,i,a|g|n|u,y
pron_rel,na,na,na,na,c,a|g,y
verb,1|2|3,i,a,i|j|s,na,na,n
verb,1|2|3,i,p,i|s,na,na,n
verb,1|2|3,p,a,i,na,na,n
verb,1|3,p,p,i,na,na,n
verb,2,c,a,i,na,na,n
verb,2|3,i,a,u,na,na,n
verb,2|3,i,p,j,na,na,n
verb,3,i,p,u,na,na,n
verb,3,na,na,na,na,na,n
verb,3,p,a,u,na,na,n
verb,3,p,u,i,na,na,n
verb_pseudo,na,na,na,na,na,na,n
